operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
oproj_backward,qwen3_235b,524288,4,131072,,,4096,8192,8.6888561248775,2.0246837778849773,2.671275354133995,0.7579464897737443,1.9776633694837917,2.377573915092479,16,along_n,8,32,along_m,8,32,,,20260914-092338-34e847
oproj_backward,qwen3_235b,131072,8,16384,,,4096,8192,1.0649920105950001,2.064826058482287,2.5887185771627403,0.7976247695280017,2.006759630164446,2.8935417797438356,16,along_n,8,32,along_m,8,32,,,20260914-092401-7feb67
oproj_backward,qwen3_235b,262144,8,32768,,,4096,8192,2.124943971635,2.0697235173311426,2.576308099561938,0.8033680124217548,2.050638999205983,0.9306620098685991,16,along_n,8,32,along_m,8,32,,,20260914-092424-cbc47f
oproj_backward,qwen3_235b,524288,8,65536,,,4096,8192,4.240584015847499,2.0742645327473985,2.6621461210609283,0.779170052439028,2.030747428100224,2.1429107354765886,16,along_n,8,32,along_m,8,32,,,20260914-092453-7e21ab
oproj_backward,kimi_k3_kda,131072,4,32768,,,7168,12288,5.55384004116,2.078718869482724,2.678082809874965,0.7761966365706875,2.0459039469394766,1.6039327062414621,16,along_n,8,32,along_m,8,32,,,20260914-092521-a5de79
oproj_backward,kimi_k3_kda,262144,4,65536,,,7168,12288,10.920855999,2.1142797034783976,2.6818328838214156,0.7883711607211348,2.086209055708346,1.3455337897821718,16,along_n,8,32,along_m,8,32,,,20260914-092540-0c4ec4
oproj_backward,kimi_k3_kda,524288,4,131072,,,7168,12288,21.897096157074998,2.1089320718752615,2.642970908547381,0.7979399489623457,2.0841489134439826,1.1891260874601128,16,along_n,8,32,along_m,8,32,,,20260914-092603-ea0611
oproj_backward,kimi_k3_kda,131072,8,16384,,,7168,12288,2.7130799889575004,2.1276320894770433,2.6898784676023393,0.7909770330157473,2.065171819078138,3.024458779743888,16,along_n,8,32,along_m,8,32,,,20260914-092631-692271
oproj_backward,kimi_k3_kda,262144,8,32768,,,7168,12288,5.549055933955,2.0805110326973364,2.678082809874965,0.7768658329106977,2.050721358501319,1.452643679382537,16,along_n,8,32,along_m,8,32,,,20260914-092655-a0c4c0
oproj_backward,kimi_k3_kda,524288,8,65536,,,7168,12288,10.929800033575,2.112549553730823,2.6818328838214156,0.787726023674001,2.0872001918389063,1.2145151189155046,16,along_n,8,32,along_m,8,32,,,20260914-092723-25166d
oproj_backward,representative_large,131072,4,32768,,,7168,16384,7.35244810581,2.093610531803703,2.6991001975554574,0.7756698079233445,2.0623805010242213,1.5142710457149988,16,along_n,8,32,along_n,8,32,,,20260914-092752-af2255
oproj_backward,representative_large,262144,4,65536,,,7168,16384,14.710656166075001,2.092790779022211,2.6932670175406095,0.7770454119076797,2.0601624229945665,1.5837759034657672,16,along_n,8,32,along_n,8,32,,,20260914-092809-0bf232
oproj_backward,representative_large,524288,4,131072,,,7168,16384,29.995560169225,2.0527254969763367,2.6379430877918932,0.7781538223762755,2.040171446297519,0.6153429262820476,16,along_n,8,32,along_n,8,32,,,20260914-092833-47d56e
oproj_backward,representative_large,131072,8,16384,,,7168,16384,3.5991999506949997,2.138414508742645,2.4895719268092806,0.8589486753585421,2.10703145967435,1.4894437823508078,16,along_n,8,32,along_n,8,32,,,20260914-092906-14eb7a
oproj_backward,representative_large,262144,8,32768,,,7168,16384,7.36914396286,2.0888671555942624,2.6991001975554574,0.77391241625121,2.0554692377484027,1.6248318015425145,16,along_n,8,32,along_n,8,32,,,20260914-092929-ef8c6c
oproj_backward,representative_large,524288,8,65536,,,7168,16384,14.763231754275,2.0853378237331524,2.6932670175406095,0.7742781574020852,2.065129686019984,0.9785408562943188,16,along_n,8,32,along_n,8,32,,,20260914-092957-2316d9
